url,views,title
/popular/cant-remember-forget-behind-scenes-201414533.html,"1,500 views","
    Shakira - 


Can't Remember To Forget You (Behind The Scenes)"
/popular/birthday-official-131526543.html,"247,400 views","
    Katy Perry - 


Birthday (Explicit)"
/popular/came-together-trailer-192454368.html,"12,000 views","
    


'They Came Together' Trailer"
/popular/spiderman-kiss-072659963.html,"86,200 views","
    


Spiderman Kiss"
/popular/landing-backflip-rope-holding-glass-140512348.html,"24,600 views","
    


Landing a Backflip on Rope Holding a Glass of Water"
/snl/12-days-080000978.html,"29,700 views","
    


12 Days"
/snl/donald-sterling-press-conference-cold-071912217.html,"100,500 views","
    


Donald Sterling Press Conference Cold Open"
/snl/andrew-garfield-monologue-072654061.html,"27,600 views","
    


Andrew Garfield Monologue"
/snl/stanx-072704899.html,"19,000 views","
    


Stanx"
/snl/celebrity-family-feud-072144299.html,"39,600 views","
    


Celebrity Family Feud"
/snl/oliver-072138882.html,"22,900 views","
    


Oliver"
/snl/beygency-072643438.html,"172,800 views","
    


The Beygency"
/snl/coldplay-magic-071247430.html,"35,200 views","
    


Coldplay: Magic"
/snl/weekend-olya-071908525.html,"8,300 views","
    


Weekend Update: Olya"
/snl/weekend-leslie-jones-072150046.html,"16,100 views","
    


Weekend Update: Leslie Jones"
/vevo/love-never-felt-good-232226312.html,"1,400 views","
    Michael Jackson & Justin Timberlake - 


Love Never Felt So Good"
/vevo/got-head-143747502.html,"12,300 views","
    WATERS - 


Got To My Head"
/vevo/one-ole-ola-official-2014-235922441.html,"37,600 views","
    Pitbull - 


We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Audio)"
/vevo/everytime-come-around-explicit-170044358.html,"9,600 views","
    50 Cent - 


Everytime I Come Around (Explicit)"
/vevo/sirens-194723915.html,"39,100 views","
    Cher Lloyd - 


Sirens"
/comedy-central/watters-world-040000875.html,"5,100 views","
    


""Watters' World"""
/comedy-central/saul-williams-040000016.html,"5,800 views","
    


Saul Williams"
/comedy-central/beywatch-040000368.html,"11,100 views","
    


Beywatch"
/comedy-central/david-spade-040000841.html,"3,000 views","
    


David Spade"
/comedy-central/ben-kronberg-power-statements-040000944.html,"32,700 views","
    


Ben Kronberg: Power Statements"
/comedy-central/chris-delia-drinking-orleans-040000792.html,"7,000 views","
    


Chris D'Elia: Drinking in New Orleans"
/buzzfeed/freakish-ways-animals-defend-themselves-172938113.html,"25,100 views","
    


Freakish Ways Animals Defend Themselves"
/buzzfeed/chivalry-dead-170601196.html,"6,500 views","
    


Is Chivalry Dead?"
/buzzfeed/disturbingly-honest-sorority-girl-confessions-222415910.html,"134,000 views","
    


Disturbingly Honest Sorority Girl Confessions"
/buzzfeed/13-totally-horrifying-facts-seafood-222409058.html,"160,900 views","
    


13 Totally Horrifying Facts About Seafood"
/buzzfeed/things-wrestlers-thatd-creepy-did-220749727.html,"17,500 views","
    


Things Wrestlers Do That'd Be Creepy If You Did Them"
/buzzfeed/actually-sitting-184858146.html,"2,800 views","
    


How To Sit Properly"
/pet-week/facts-prove-pugs-best-breed-190538563.html,"123,400 views","
    


Facts That Prove Pugs Are The Best Breed Ever"
/pet-week/rabbit-cafe-111028054.html,"34,800 views","
    


Rabbit Cafe"
/pet-week/4-undeniably-heroic-animals-183018064.html,"366,800 views","
    


Animal Heroes Who Will Melt Your Heart"
/pet-week/why-cat-circus-best-circus-173655977.html,"118,900 views","
    


There's A Cat Circus And It's Just As Amazing As It Sounds"
/pet-week/andrew-w-k-lil-bub-050000549.html,"2,200 views","
    


Andrew W.K.'s Lil Bub Music Video"
/pet-week/paralyzed-dog-learns-walk-180021454.html,"176,900 views","
    


Paralyzed Dog Learns To Walk"
/pet-week/lessons-master-cat-photographer-165012375.html,"32,900 views","
    


Lessons From a Master Cat Photographer"
/comedy/beygency-072643438.html,"172,800 views","
    


The Beygency"
/comedy/things-wrestlers-thatd-creepy-did-220749727.html,"17,500 views","
    


Things Wrestlers Do That'd Be Creepy If You Did Them"
/comedy/squirrel-hates-selfies-220505798.html,"1,010,700 views","
    


This Squirrel Hates Selfies"
/comedy/snagglepuss-000000203.html,"17,200 views","
    


Bobby Moynihan Does Snagglepuss"
/comedy/honest-trailers-spider-man-trilogy-181800420.html,"6,700 views","
    


Honest Trailers: The Spider-Man Trilogy"
/comedy/recycling-worker-finds-returns-19k-215502643.html,"30,500 views","
    


Recycling Worker Finds and Returns $19K"
/comedy/spiderman-kiss-072659963.html,"86,200 views","
    


Spiderman Kiss"
